X,Y
2,4
4,8
6,12
8,16
10,20
12,24
14,28
16,32
18,36
20,40
22,44
24,48
26,52
28,56
30,60
32,64
34,68
36,72
38,76
40,80
42,84
44,88
46,92
48,96
50,100
52,104
54,108
56,112
58,116
60,120
62,124
64,128
66,132
68,136
70,140
72,144
74,148
76,152
78,156
80,160
82,164
84,168
86,172
88,176
90,180
92,184
94,188
96,192
98,196
100,200
102,204
104,208
106,212
108,216
110,220
112,224
114,228
116,232
118,236
120,240
122,244
124,248
126,252
128,256
130,260
132,264
134,268
136,272
138,276
140,280
142,284
144,288
146,292
148,296
150,300
152,304
154,308
156,312
158,316
160,320
162,324
164,328
